Solution,X1,X2,F1,F2,C1_value,C2_value,C1_satisfied,C2_satisfied,All_constraints_OK
33,3.5140638501522186,2.999929848670046,85.39492536053326,6.20879435191067,-13.792414661634066,-48.4227813294729,True,True,True
38,3.58816687746256,2.9935710875533914,87.34805026620418,6.019632916391537,-14.045259377870586,-47.6871658826744,True,True,True
34,3.7291373359109294,2.913710203757528,89.58751137807185,5.968402447833388,-14.8952009375437,-45.51223626953588,True,True,True
35,3.762771321814713,2.952937394754229,91.51593393079428,5.721896317009158,-14.749425940537996,-45.69157049709911,True,True,True
88,3.82096459847616,2.958062186488216,93.40290680195191,5.5604588508442205,-14.859743622822071,-45.262841905250255,True,True,True
78,3.8379642543042793,2.9999635250299663,94.92083515942656,5.35093099651418,-14.649891774215169,-45.62210385013895,True,True,True
81,3.98229994002131,2.9652081689717384,98.60745920716955,5.176783711861906,-15.17182710258264,-44.02562227111993,True,True,True
87,4.040397033955141,2.999789209445209,101.29575081490717,4.9220752697232815,-15.080426846453998,-43.97592620648641,True,True,True
77,4.197137251043129,2.9964903205384186,106.38057303929794,4.65886754400901,-15.376457165256983,-42.719661251714754,True,True,True
63,4.267510814765648,2.9986347713966186,108.8162682059364,4.542611189861439,-15.471649101285864,-42.21509463849996,True,True,True
57,4.300017965250301,2.9964690960658174,109.87630361171216,4.504205289766849,-15.531198107350177,-41.94750867754293,True,True,True
26,4.3929976768452175,2.977702418337507,112.66245243948228,4.458612158043326,-15.76483648751166,-41.04339196144208,True,True,True
56,4.436063037773766,2.9996978085890005,114.70941520629664,4.319745337946498,-15.683788159781397,-40.99802046511001,True,True,True
96,4.506294773202111,2.999771054116155,117.2224035622102,4.24494261736989,-15.757628771919295,-40.50322891356497,True,True,True
82,4.561491063589054,3.0,119.23057292735936,4.192732595949306,-15.807709912687743,-40.12334370577793,True,True,True
14,4.639126471344453,2.993577890397476,121.93431946243648,4.156536248189832,-15.908261710439092,-39.51844680387904,True,True,True
73,4.72394984643584,2.996784134439794,125.188509325697,4.089787522667919,-15.94308116428714,-38.99392456373658,True,True,True
90,4.779275119788285,2.9992352311689348,127.35004689622669,4.052408214484465,-15.95586855537055,-38.66389211291335,True,True,True
71,4.799262366297486,2.9992352311689348,128.11355971287816,4.043413953555325,-15.96429243053054,-38.53554475869815,True,True,True
97,4.869352159683598,2.99998778341916,130.84444249570987,4.017711192899885,-15.983004441156456,-38.10080930125691,True,True,True
29,4.925732164332382,2.999999999999999,133.05384727469584,4.006140175350146,-15.994484288585252,-37.75112272542045,True,True,True
1,4.99999999976887,2.9999999999999987,135.999999990801,4.000000000011561,-16.000000000000007,-37.30000000138676,True,True,True
